Hf,TVF,OH,SVF,TF,IP,phiedge
4428.66,958.099,-10.5501,138.690,-13.4226,12.3662,-0.0328039
4346.66,1145.23,15672.7,72.3597,-38.4072,43738.4,-0.0436478
4436.40,957.676,-9.78129,139.394,-12.9440,12.9526,-0.0328294
4371.38,1145.52,15593.1,74.0335,-39.3241,43847.0,-0.0436831
4431.25,963.979,-9.20336,205.221,-13.7536,16.5490,-0.0301628
4353.07,1146.87,15350.0,138.515,-38.3043,41961.8,-0.0424381
4428.70,982.511,-10.0283,204.283,-17.3139,17.1962,-0.0300341
4353.82,1192.76,20296.6,131.272,-34.5159,46814.2,-0.0445356
4429.88,1004.60,-9.55684,203.660,-15.4264,24.2590,-0.0297237
4336.55,1222.07,20511.7,126.768,-46.0555,56336.5,-0.0451315
4435.28,941.857,-8.28868,204.169,-15.0909,24.1950,-0.0304743
4348.33,1159.93,20319.4,129.711,-41.4263,52508.2,-0.0434053
4441.98,939.951,-9.74207,254.966,-15.1401,17.8275,-0.0286803
4357.12,1164.79,21623.4,180.417,-41.0416,53516.9,-0.0423473
4428.59,963.151,-10.3537,256.693,-12.2552,27.3736,-0.0282945
4332.52,1188.02,21416.5,175.680,-41.1087,59084.1,-0.0424658
4436.56,985.759,-11.2795,256.051,-12.6220,20.8799,-0.0280471
4346.53,1190.00,18029.3,185.250,-40.4467,49556.8,-0.0426295
4435.86,1005.89,-13.4511,254.851,-12.9709,26.5792,-0.0277760
4346.34,1200.76,16729.3,184.139,-41.4039,48932.5,-0.0429940
4438.80,964.501,-11.2626,408.384,-12.8143,18.2933,-0.0232034
4360.86,1148.94,15413.8,342.114,-37.9331,40925.6,-0.0390768
4434.54,986.115,-10.1684,409.261,-13.3063,27.8655,-0.0227082
4355.85,1171.23,15742.4,341.779,-37.9599,41609.7,-0.0394866
4435.42,1006.64,-10.3872,407.281,-12.9261,20.6176,-0.0221944
4353.55,1192.16,15845.0,339.787,-38.7695,42970.4,-0.0401137
4432.82,1004.76,-10.9485,307.809,-12.3089,24.5390,-0.0257651
4349.17,1195.21,16032.3,240.022,-38.4475,46029.0,-0.0418461
4429.07,961.111,-13.6700,306.051,-13.8296,22.9668,-0.0265541
4343.79,1148.59,15866.1,239.714,-37.0967,42870.0,-0.0405464
4429.23,983.874,-12.2671,307.034,-10.4393,25.4711,-0.0261772
4350.31,1168.90,15580.2,241.987,-40.0040,43180.3,-0.0411840
4430.73,983.291,-13.1930,153.473,-15.3682,21.6676,-0.0320428
4341.44,1175.91,16591.2,83.5285,-40.8538,47543.6,-0.0441753
4431.84,1003.58,-11.7565,152.481,-12.6712,18.5008,-0.0319134
4321.51,1196.70,16463.0,81.9442,-41.6589,49020.8,-0.0447427
4436.04,1012.18,-10.9150,-6.57164,-12.4476,26.7203,-0.0388789
4334.43,1237.18,22180.8,-93.5408,-41.2295,62244.2,-0.0498136
4450.07,1005.09,-13.5913,-6.53047,-13.1811,24.9231,-0.0391998
4317.27,1233.62,21680.5,-95.7462,-45.6396,69436.2,-0.0485417
4428.45,942.209,-14.9101,-6.44454,-12.8009,22.2951,-0.0391825
4314.45,1169.82,21220.4,-94.2515,-45.7872,67667.9,-0.0459735
4433.37,940.619,-12.8283,-154.633,-13.7715,11.3198,-0.0466034
4329.06,1151.87,18533.1,-227.430,-43.6760,58268.6,-0.0496342
4428.33,984.382,-15.2133,-153.692,-13.0469,10.5679,-0.0456854
4322.83,1190.69,18039.6,-227.868,-44.9463,57976.5,-0.0510292
4425.01,984.271,-16.2232,-252.660,-13.1990,19.8575,-0.0445367
4336.71,1201.57,22650.7,-328.899,-39.2525,56750.4,-0.0556103
4431.03,962.358,-17.3286,-254.681,-13.0380,14.2234,-0.0476687
